Month,ID,Annual_Income,Monthly_Inhand_Salary,Interest_Rate,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Credit_Utilization_Ratio,Amount_invested_monthly,Monthly_Balance
May,97,43758.34,3454.528333,12,6,0,1194.28,30.68567908,389.0516109,190.0898019
June,97,43758.34,3454.528333,12,6,8,1194.28,27.26513495,147.5732176,401.5681952
January,98,144881.68,11877.47333,15,6,8,404.51,33.90967515,10000,738.2518345
February,98,144881.68,11877.47333,15,6,6,404.51,30.92453971,237.605283,775.4860371
March,98,144881.68,11877.47333,15,61,16,404.51,36.28893236,1270.327961,
April,98,144881.68,11877.47333,15,65,15,404.51,39.2763797,990.2115188,72.87980133
May,98,144881.68,11877.47333,15,61,15,404.51,35.32552064,443.9157278,579.1755923
June,98,144881.68,11877.47333,15,61,15,404.51,28.15605347,757.8121973,275.2791228
January,99,108147.3,8926.275,6,61,13,1113.06,36.42376664,328.4800428,612.9678757
February,99,108147.3,8926.275,6,61,15,1113.06,39.57269231,799.3782051,162.0697133
March,99,108147.3,8926.275,6,61,15,1113.06,27.29590216,116.5331164,804.914802
April,99,108147.3,8926.275,6,61,15,1113.06,30.40254793,10000,778.6118203
May,99,108147.3,8926.275,6,1,7,1113.06,29.97751441,184.5925317,736.8553868
June,99,108147.3,8926.275,6,2,6,1113.06,38.51521527,122.7035818,808.7443366
January,100,17759.1,1533.925,19,1,6,3598.39,27.22856802,190.0547612,188.7871183
February,100,17759.1,1533.925,19,2,6,3598.39,38.05162518,114.1743166,264.6675629
March,100,17759.1,1533.925,19,1,6,3598.39,39.37829033,130.3179505,228.523929
April,100,17759.1,1533.925,19,5,0,3598.39,29.44796845,195.1092462,183.7326333
May,100,17759.1,1533.925,19,1,6,3598.39,30.14370368,206.4503839,172.3914957
June,100,17759.1,1533.925,19,1,6,3598.39,35.28592081,157.3673523,211.4745272
January,101,85328.73,6858.7275,11,36,17,585.05,28.02456085,145.0907844,712.3229995
February,101,85328.73,6858.7275,11,36,19,585.05,28.27046488,106.5877387,750.8260452
March,101,85328.73,6858.7275,11,36,17,585.05,29.33563866,318.3073417,579.1064422
April,101,85328.73,6858.7275,11,33,17,585.05,30.07533269,203.0705331,694.3432508
May,101,85328.73,6858.7275,11,32,17,585.05,38.05151985,95.81963874,771.5941452
June,101,85328.73,6858.7275,11,32,17,585.05,37.64923016,137.1702844,720.2434995
January,102,134321.44,11064.45333,12,36,14,1428.68,26.75528646,715.7040605,417.0530291
February,102,134321.44,11064.45333,12,36,17,1428.68,39.90369227,10000,335.9725019
March,102,134321.44,11064.45333,12,8,0,1428.68,34.22349216,0,949.50237
April,102,134321.44,9997.592514,12,8,10,1428.68,37.94748333,461.5302283,641.2268614
May,102,134321.44,9997.592514,12,8,10,1428.68,31.98128604,259.4569536,833.300136
June,102,134321.44,9997.592514,12,8,10,1428.68,40.96972833,598.8624397,513.89465
January,103,61008,5235,32,8,10,1755.81,27.37324216,218.2076697,365.8657996
February,103,61008,5235,32,8,10,1755.81,32.45474799,677.4251029,
March,103,61008,5235,32,11,10,1755.81,32.98956713,165.2171154,438.8563539
April,103,61008,5235,32,8,10,1755.81,32.85587002,73.60092894,500.4725404
May,103,61008,5235,32,9,5,1755.81,29.51708332,255.8771888,358.1962805
June,103,61008,5235,32,9,7,1755.81,29.07238717,201.6860912,382.3873781
January,104,28665.76,2582.813333,5,9,5,1237.46,36.6396993,340.9908376,184.6023182
February,104,28665.76,2582.813333,5,9,5,1237.46,34.10061402,182.0336712,323.5594845
March,104,28665.76,2582.813333,5,9,6,1237.46,31.42349681,117.0473528,378.5458029
April,104,28665.76,2582.813333,5,9,5,1237.46,33.37386506,80.25709666,405.3360591
May,104,28665.76,2582.813333,5,9,5,1237.46,36.48458788,236.8815961,288.7115597
June,104,28665.76,2582.813333,5,7,5,1237.46,33.84501778,138.3066033,377.2865525
January,105,56803.71,4620.6425,25,11,20,2593.44,29.75653236,10000,243.0942731
February,105,56803.71,4620.6425,25,10,0,2593.44,36.3448053,272.4220305,262.4520007
March,105,56803.71,4620.6425,25,11,20,2593.44,27.19245683,154.3728581,370.5011731
April,105,56803.71,4620.6425,25,10,18,2593.44,32.07852764,186.0685566,348.8054746
May,105,56803.71,4620.6425,25,10,20,2593.44,25.31414163,160.9121209,363.9619102
June,105,56803.71,4620.6425,25,7,20,2593.44,38.78579181,94.38794945,420.4860817
January,106,38364.82,2904.068333,32,10,21,1973.63,37.66455307,74.79251895,390.7639425
February,106,38364.82,2904.068333,32,5,20,1973.63,25.56656333,280.3850232,225.1714383
March,106,38364.82,2904.068333,32,41,19,1973.63,26.07823491,123.9038606,361.6526009
April,106,38364.82,2904.068333,32,39,20,1973.63,26.267351,111.0394321,374.5170294
May,106,38364.82,2904.068333,32,47,21,1973.63,32.1711038,42.18845308,413.3680084
June,106,38364.82,2904.068333,32,47,20,1973.63,23.79219323,10000,327.0650688
January,107,66528.24,2904.068333,11,44,19,1460.8,26.42518128,139.5745607,673.7274393
February,107,66528.24,5733.02,11,46,20,1460.8,38.25186383,38.94642667,774.3555733
March,107,66528.24,5733.02,11,42,19,1460.8,32.53387309,98.82755375,724.4744463
April,107,66528.24,5733.02,11,46,19,1460.8,36.63336352,215.6186379,607.6833621
May,107,66528.24,5733.02,11,0,15,1460.8,34.37396536,247.4272856,585.8747144
June,107,66528.24,5733.02,11,5,15,1460.8,27.50257202,97.04179086,716.2602091
January,108,19403.405,1904.950417,3,2,15,339.11,31.22930685,52.12810762,349.1520196
February,108,19403.405,1904.950417,3,6,183,339.11,36.5078306,125.9483687,315.3317585
March,108,19403.405,1904.950417,3,5,16,339.11,33.68727673,192.718754,248.5613732
April,108,19403.405,1904.950417,3,7,16,339.11,38.25840231,186.9890358,244.2910915
May,108,19403.405,1904.950417,3,5,17,339.11,36.82660981,169.8581974,251.4219299
June,108,19403.405,1904.950417,3,5,15,339.11,25.84913168,71.55927579,329.7208514
January,109,31122.79,2761.565833,12,4,9,358.6,30.79484745,220.5130602,325.6435231
February,109,31122.79,2761.565833,12,4,9,358.6,31.60070425,249.6968801,306.4597033
March,109,31122.79,2761.565833,12,4,7,358.6,32.51956159,57.2407224,458.9158609
April,109,31122.79,2761.565833,12,4,9,358.6,26.85277506,158.2697734,377.88681
May,109,31122.79,2761.565833,12,4,9,358.6,27.1376456,230.722102,335.4344814
June,109,31122.79,2761.565833,12,4,6,358.6,34.55576314,200.0838001,346.0727832
January,110,15015.4,1213.283333,9,2,9,330.17,33.27002451,92.11412378,307.528475
February,110,15015.4,1213.283333,9,4,12,330.17,29.99075632,75.14400572,324.4985931
March,110,15015.4,1213.283333,9,16,21,330.17,24.24900974,48.25865276,351.383946
April,110,15015.4,1213.283333,9,13,17,330.17,37.84241153,69.60003309,320.0425657
May,110,15015.4,1213.283333,9,21,20,330.17,30.23488554,136.4954553,263.1471434
June,110,15015.4,1213.283333,9,17,0,330.17,29.92099563,50.73793309,348.9046657
January,111,19777.05,1728.0875,3,16,20,186.16,38.41845963,10000,357.4905567
February,111,19777.05,1728.0875,3,20,20,186.16,26.60266394,39.27209392,354.4911228
March,111,19777.05,1728.0875,3,16,20,186.16,26.27606328,25.1512005,368.6120162
April,111,19777.05,1728.0875,3,16,21,186.16,30.27714749,193.1579358,240.6052809
May,111,19777.05,1728.0875,3,9,16,186.16,28.98331009,0,298.4092616
June,111,19777.05,1728.0875,3,12,16,186.16,39.95698734,10000,363.640576
January,112,20188.02,1851.335,6,9,14,399.92,28.54258478,147.6362135,281.9170057
February,112,20188.02,1851.335,6,9,17,399.92,31.3632289,35.50111934,364.0520998
March,112,20188.02,1851.335,6,9,16,399.92,39.07337919,79.8774261,339.6757931
April,112,20188.02,1851.335,6,9,16,399.92,26.40738386,98.28930196,341.2639172
May,112,20188.02,1851.335,6,9,16,399.92,33.00461132,148.2581692,291.29505
June,112,20188.02,1851.335,6,9,15,399.92,37.28999202,22.78993516,386.763284
January,113,41345.58,1851.335,10,17,18,646.47,23.04195122,0,187.9342805
February,113,41345.58,3260.465,10,17,0,646.47,34.16352449,110.074478,465.972022
March,113,41345.58,3260.465,10,17,18,646.47,27.7470489,69.28882473,506.7576753
April,113,41345.58,3260.465,10,17,18,646.47,30.25251837,10000,323.1918538
May,113,41345.58,3260.465,10,17,20,646.47,32.69081341,36.94720504,539.099295
June,113,41345.58,3260.465,10,17,18,646.47,32.62574506,115.5128542,500.5336458
January,114,55151.04,3260.465,23,17,18,1743.83,30.30098553,262.8372921,315.8316405
February,114,55151.04,3260.465,23,17,20,1743.83,27.25049996,139.0744818,409.5944508
March,114,55151.04,3260.465,23,60,16,1743.83,40.66800182,467.7339131,120.9350195
April,114,55151.04,3260.465,23,60,16,1743.83,32.49312412,287.5477079,291.1212247
May,114,55151.04,3260.465,23,64,14,1743.83,26.56636948,174.9210371,373.7478955
June,114,55151.04,4704.92,23,60,0,1743.83,39.26946645,104.8775327,443.7913999
January,115,30536.62,2430.718333,7,60,16,687.87,31.02265867,96.7289942,353.3703981
February,115,30536.62,2430.718333,7,60,16,687.87,31.64432344,75.76028912,374.3391032
March,115,30536.62,2430.718333,7,60,16,687.87,38.63550085,36.6414243,413.457968
April,115,30536.62,2430.718333,7,60,14,687.87,35.47567291,140.1876944,349.9116979
May,115,30536.62,2430.718333,7,26,22,687.87,35.24894992,115.5844975,354.5148948
June,115,30536.62,2430.718333,7,26,22,687.87,28.52498558,97.5118362,352.5875561
January,116,147499.6,12353.63333,12,26,0,1250.67,42.25298015,10000,1041.077483
February,116,147499.6,12353.63333,12,26,23,1250.67,37.95506377,0,685.0242473
March,116,147499.6,12353.63333,12,23,22,1250.67,27.98833245,443.1864811,859.970369
April,116,147499.6,12353.63333,12,26,19,1250.67,30.59014317,1031.330809,291.8260413
May,116,147499.6,12353.63333,12,26,22,1250.67,26.78468276,396.4144419,926.7424081
June,116,147499.6,12353.63333,12,26,22,1250.67,25.76759328,960.8408779,362.3159722
January,117,20005.22,1683.101667,6,1,2,1859.45,38.05357747,219.6562015,179.1407511
February,117,20005.22,1683.101667,6,1,0,1859.45,32.77031221,166.333815,222.4631375
March,117,20005.22,1683.101667,6,1,-1,1859.45,29.83677528,127.6645957,261.1323568
April,117,20005.22,1683.101667,6,1,0,1859.45,32.08626927,99.05570259,279.7412499
May,117,20005.22,1683.101667,6,-1,0,1859.45,40.33681367,34.82607388,333.9708787
June,117,20005.22,1683.101667,6,1,0,1859.45,31.04169773,33.73289502,325.0640575
January,118,19795.52,1662.626667,34,1,0,3135.02,37.82075621,77.06641227,248.7207837
February,118,19795.52,1662.626667,34,1,1,3135.02,26.82623712,174.7103102,151.0768857
March,118,19795.52,1662.626667,34,12,15,3135.02,27.57515856,61.27863699,224.508559
April,118,19795.52,1662.626667,34,12,15,3135.02,36.64689472,76.75799675,229.0291992
May,118,19795.52,1662.626667,34,17,1106,3135.02,34.36590976,143.6098707,162.1773252
June,118,19795.52,1662.626667,34,12,18,3135.02,28.86964153,104.3003302,191.4868658
January,119,60938.13,5163.1775,31,12,17,3947.24,21.7448835,166.4876761,231.5254005
February,119,60938.13,5163.1775,31,9,15,3947.24,24.10018317,10000,
March,119,60938.13,5163.1775,31,7,13,3947.24,25.8211221,570.8378294,
April,119,60938.13,5163.1775,31,11,15,3947.24,29.55800086,205.355955,192.6571217
May,119,60938.13,5163.1775,31,5,9,3947.24,35.40968589,464.5784432,
June,119,60938.13,5163.1775,31,11,15,3947.24,30.93143532,118.582521,259.4305556
January,120,80396.86,6623.738333,9,4,12,1357.54,34.92686537,266.0130452,646.3607881
February,120,80396.86,6623.738333,9,8,12,1357.54,37.80897424,482.1142572,450.2595761
March,120,80396.86,6623.738333,9,8,10,1357.54,38.45991946,159.9030718,752.4707615
April,120,80396.86,6623.738333,9,5,10,1357.54,31.31834536,305.4240013,646.949832
May,120,80396.86,6623.738333,9,6,0,1357.54,29.0785458,0,724.5586823
June,120,80396.86,6623.738333,9,8,0,1357.54,26.53000279,422.5870729,519.7867604
January,121,57610.32,4517.86,25,17,18,4428.64,40.4575377,10000,53.7543837
February,121,57610.32,4517.86,25,10,16,4428.64,30.25440338,135.0449567,310.506864
March,121,57610.32,4517.86,25,15,16,4428.64,31.6279151,146.147221,299.4045998
April,121,57610.32,4517.86,25,15,16,4428.64,37.0851965,36.03012555,399.5216952
May,121,57610.32,4517.86,25,15,18,4428.64,27.24640215,186.604381,278.9474397
June,121,57610.32,4517.86,25,19,16,4428.64,24.53738087,415.0140243,60.5377965
January,122,18717.02,1294.751667,15,15,16,2103.99,32.72190461,172.2831653,186.5450081
February,122,18717.02,1294.751667,15,15,16,2103.99,28.88914591,51.66822154,307.1599518
March,122,18717.02,1294.751667,15,14,11,2103.99,30.04811835,0,275.1046939
April,122,18717.02,1294.751667,15,14,0,2103.99,25.27099616,71.0085451,257.8196283
May,122,18717.02,1294.751667,15,11,12,2103.99,27.19345256,39.90549924,278.9226741
June,122,18717.02,1294.751667,15,14,0,2103.99,31.58328883,0,274.9008231
January,123,19163.22,1346.935,7,14,8,2226.37,38.08096369,15.20673351,345.3111188
February,123,19163.22,1346.935,7,14,10,2226.37,35.68057374,165.7348717,234.7829806
March,123,19163.22,1346.935,7,14,9,2226.37,31.19125771,167.8781191,232.6397333
April,123,19163.22,1346.935,7,14,11,2226.37,26.14779838,35.39321437,325.124638
May,123,19163.22,1346.935,7,22,18,2226.37,35.98159627,13.80248657,336.7153658
June,123,19163.22,1346.935,7,27,18,2226.37,36.34917939,81.72630033,288.791552
January,124,94554.87,7914.5725,2,22,18,1487.9,27.61540225,626.30901,455.14824
February,124,94554.87,7914.5725,2,22,19,1487.9,30.87069771,300.3255397,761.1317103
March,124,94554.87,7914.5725,2,22,18,1487.9,36.70593008,443.7484006,607.7088494
April,124,94554.87,7914.5725,2,27,18,1487.9,32.9629716,409.4268586,662.0303914
May,124,94554.87,7914.5725,2,22,16,1487.9,34.25162577,119.4020845,922.0551655
June,124,94554.87,7914.5725,2,22,18,1487.9,41.30293329,10000,946.5394343
January,125,63536.98,5382.748333,12,14,17,89.62,34.95044799,517.0200747,242.1539061
February,125,63536.98,5382.748333,12,8,20,89.62,35.39597764,36.73241195,672.4415688
March,125,63536.98,5382.748333,12,12,17,89.62,35.72994933,97.69166507,611.4823157
April,125,63536.98,5382.748333,12,12,17,89.62,37.01537952,528.334993,230.8389878
May,125,63536.98,5382.748333,12,12,17,89.62,37.3898604,0,440.9182314
June,125,63536.98,5382.748333,12,12,16,89.62,34.81149096,451.6381889,287.5357919
January,126,9983.345,758.9454167,15,12,20,1823.35,36.98828769,0,261.6554806
February,126,9983.345,758.9454167,15,12,17,1823.35,29.50942274,18.18202077,278.4710022
March,126,9983.345,758.9454167,15,33,18,1823.35,39.63775601,47.64921348,279.0038095
April,126,9983.345,758.9454167,15,33,18,1823.35,26.61197778,42.3798964,264.2731266
May,126,9983.345,758.9454167,15,35,19,1823.35,30.27487769,0,277.7414585
June,126,9983.345,758.9454167,15,33,17,1823.35,33.65902861,10000,288.3958605
January,127,27796.42,2300.368333,16,36,19,1073.94,41.02732543,128.2161902,325.7530119
February,127,27796.42,2300.368333,16,33,19,1073.94,30.38965549,130.0996114,333.8695906
March,127,27796.42,2300.368333,16,33,19,1073.94,37.15621874,75.71790454,368.2512975
April,127,27796.42,2300.368333,16,33,21,1073.94,24.05756073,84.99894038,358.9702617
May,127,27796.42,2300.368333,16,26,15,1073.94,40.35044711,200.6710898,263.2981122
June,127,27796.42,2300.368333,16,23,15,1073.94,22.20576058,302.0617222,181.9074799
January,128,132872.72,11203.72667,10,22,17,89.68,33.45134938,353.122864,882.4191203
February,128,132872.72,11203.72667,10,23,15,89.68,42.39788392,475.9167981,779.6251862
March,128,132872.72,11203.72667,10,23,17,89.68,41.34188581,258.8751188,956.6668655
April,128,132872.72,11203.72667,10,23,0,89.68,29.35715298,913.1710383,352.370946
May,128,132872.72,11203.72667,10,23,15,89.68,27.62293379,514.0429431,731.4990412
June,128,132872.72,11203.72667,10,23,15,89.68,40.08150518,223.3183671,992.2236172
January,129,140014.36,11662.86333,18,9,2,1151.7,34.92454851,423.6241662,644.0417706
February,129,140014.36,11662.86333,18,13,2,1151.7,33.12940702,377.0611543,690.6047825
March,129,140014.36,11662.86333,18,18,2,1151.7,25.05169905,843.1987396,254.4671973
April,129,140014.36,11662.86333,18,13,1,1151.7,33.49290201,0,779.5739541
May,129,140014.36,11662.86333,18,13,0,1151.7,37.3982318,364.0138411,713.6520957
June,129,140014.36,11662.86333,18,13,5,1151.7,26.57131271,388.0007706,679.6651663
January,130,37071.2,3006.266667,6,13,2,869.99,34.98833625,386.8995613,129.0368339
February,130,37071.2,3006.266667,6,11,2,869.99,34.97119016,68.25104822,397.6853471
March,130,37071.2,3006.266667,6,6,13,869.99,28.31939476,142.8943811,353.0420142
April,130,37071.2,3006.266667,6,10,15,869.99,39.63081461,276.8189914,239.1174038
May,130,37071.2,3006.266667,6,5,13,869.99,30.6853671,57.42272997,408.5136653
June,130,37071.2,3006.266667,6,5,13,869.99,32.25082082,68.03216109,397.9042342
January,131,41735.55,3357.9625,8,5,16,1480.92,32.50328427,98.89486393,387.2872394
February,131,41735.55,3357.9625,8,4,13,1480.92,25.48749105,60.16086359,406.0212397
March,131,41735.55,3357.9625,8,1,13,1480.92,22.07844595,10000,77.07838234
April,131,41735.55,3357.9625,8,3,12,1480.92,34.23860845,387.4665448,128.7155585
May,131,41735.55,3357.9625,8,14,20,1480.92,35.28428516,10000,223.4435146
June,131,41735.55,3357.9625,8,13,19,1480.92,34.51094824,87.83142994,388.3506734
January,132,40391.66,3357.971667,18,14,21,1950.62,38.3957798,270.6282467,284.7980916
February,132,40391.66,3357.971667,18,14,0,1950.62,30.76603966,89.65122047,435.7751178
March,132,40391.66,3357.971667,18,14,20,1950.62,34.54141617,313.4191447,242.0071935
April,132,40391.66,3357.971667,18,14,20,1950.62,23.34722076,253.0619063,292.364432
May,132,40391.66,3357.971667,18,13,20,1950.62,25.19202672,34.14143378,481.2849045
June,132,40391.66,3357.971667,18,14,20,1950.62,31.13055404,189.4868251,355.9395131
January,133,7441.295,873.1079167,33,20,20,2569.3,30.21890538,96.30724364,255.5848048
February,133,7441.295,873.1079167,33,24,20,2569.3,36.05020819,94.21915196,257.6728965
March,133,7441.295,873.1079167,33,24,21,2569.3,23.21011461,42.12400278,299.7680457
April,133,7441.295,873.1079167,33,24,20,2569.3,35.34160912,38.81360837,313.0784401
May,133,7441.295,873.1079167,33,24,0,2569.3,27.06896868,56.93823725,284.9538112
June,133,7441.295,822.5517437,33,24,0,2569.3,29.12876324,55.39678502,296.4952634
January,134,19065.32,1497.776667,5,24,23,2008.06,29.44953194,63.52147977,290.0437129
February,134,19065.32,1497.776667,5,26,20,2008.06,29.75799884,20.9689828,292.5962099
March,134,19065.32,1497.776667,5,11,17,2008.06,35.93733555,32.88341822,290.6817744
April,134,19065.32,1497.776667,5,12,18,2008.06,39.0721852,107.4232711,256.1419215
May,134,19065.32,1497.776667,5,7,17,2008.06,30.09094621,166.2444409,197.3207518
June,134,19065.32,1497.776667,5,12,17,2008.06,29.54374905,54.20504868,269.360144
January,135,24585.55,2316.795833,14,12,14,195.38,30.63404463,43.26624308,397.9655633
February,135,24585.55,2316.795833,14,12,14,195.38,35.07876591,139.0459843,352.1858221
March,135,24585.55,2316.795833,14,12,17,195.38,37.73274571,58.81931338,392.412493
April,135,24585.55,2316.795833,14,17,834,195.38,37.75461207,50.46839601,390.7634104
May,135,24585.55,2316.795833,14,26,19,195.38,27.45654797,50.95979278,410.2720136
June,135,24585.55,2316.795833,14,26,19,195.38,35.7593548,109.38613,381.8456764
January,136,15013.73,1127.144167,14,26,21,1403.17,31.79668961,75.20945229,265.9570402
February,136,15013.73,1127.144167,14,26,22,1403.17,26.9483472,138.0087413,213.1577512
March,136,15013.73,1127.144167,14,26,21,1403.17,25.55029323,38.98803587,312.1784566
April,136,15013.73,1127.144167,14,26,19,1403.17,27.42627956,129.5271333,221.6393592
May,136,15013.73,1127.144167,14,26,19,1403.17,32.67643149,151.225327,199.9411655
June,136,15013.73,1127.144167,14,29,20,1403.17,36.28518212,0,279.4875339
January,137,126006.68,1127.144167,20,16,19,385.8,22.98972216,1069.38991,40.19842748
February,137,126006.68,1127.144167,20,16,19,385.8,29.54094702,718.6753577,370.9129797
March,137,126006.68,1127.144167,20,16,19,385.8,30.68741311,264.1068678,835.4814696
April,137,126006.68,1127.144167,20,16,19,385.8,28.67155267,1082.820731,26.76760652
May,137,126006.68,10693.55667,20,16,20,385.8,34.86719994,408.2953699,671.2929675
June,137,126006.68,10693.55667,20,16,19,385.8,27.89543048,248.7005808,830.8877566
January,138,102885.32,8643.776667,16,14,19,605.34,22.39367942,857.7632224,222.4557808
February,138,102885.32,8643.776667,16,16,19,605.34,30.83825551,142.0658008,898.1532023
March,138,102885.32,8643.776667,16,14,10,605.34,28.40696052,298.1439608,742.0750423
April,138,102885.32,8643.776667,16,16,10,605.34,35.61185297,547.8315332,532.38747
May,138,102885.32,8643.776667,16,16,13,605.34,27.65699989,495.6310264,584.5879767
June,138,102885.32,8643.776667,16,16,11,605.34,37.26393252,215.6344577,814.5845454
January,139,34212.01,2847.000833,10,16,10,512.38,29.74634663,270.2397718,237.7838982
February,139,34212.01,2847.000833,10,16,10,512.38,28.44296251,380.9233337,127.1003363
March,139,34212.01,2847.000833,10,16,12,512.38,37.57055171,205.3957988,292.6278713
April,139,34212.01,2847.000833,10,16,10,512.38,31.85203897,150.7068026,327.3168674
May,139,34212.01,2847.000833,10,51,26,512.38,32.64457795,26.2700848,431.7535852
June,139,34212.01,2847.000833,10,46,23,512.38,28.43167429,236.8755134,261.1481567
January,140,118487.16,9810.93,20,46,20,140.26,33.66718198,354.2155581,595.3165737
February,140,118487.16,9810.93,20,46,23,140.26,36.90906559,361.4271888,598.104943
March,140,118487.16,9810.93,20,46,24,140.26,42.19925093,10000,745.5185944
April,140,118487.16,9810.93,20,46,23,140.26,36.72347393,359.2148112,580.3173206
May,140,118487.16,9810.93,20,44,23,140.26,30.1391876,10000,508.6532572
June,140,118487.16,9810.93,20,44,23,140.26,35.48599081,683.3484299,276.1837018
January,141,77418.52,6450.543333,20,34,22,3962.08,38.23495907,144.9603486,411.0629524
February,141,77418.52,6450.543333,20,34,22,3962.08,34.76165175,212.3977646,373.6255364
March,141,77418.52,6450.543333,20,34,22,3962.08,31.32632678,398.4666506,177.5566505
April,141,77418.52,6450.543333,20,34,22,3962.08,29.66000321,260.7781408,325.2451603
May,141,77418.52,6450.543333,20,31,20,3962.08,34.9494044,135.7398457,410.2834554
June,141,77418.52,6450.543333,20,34,22,3962.08,23.11099851,78.03120583,467.9920952
January,142,24199.24,1951.603333,6,34,23,784.35,36.68708626,22.73334864,398.5406793
February,142,24199.24,1951.603333,6,34,22,784.35,34.00487515,36.25883985,405.015188
March,142,24199.24,1951.603333,6,17,9,784.35,32.68423992,57.54456034,373.7294676
April,142,24199.24,1951.603333,6,19,8,784.35,29.9128427,89.24234197,352.0316859
May,142,24199.24,1951.603333,6,15,9,784.35,34.76654025,10000,392.5004253
June,142,24199.24,1951.603333,6,17,11,784.35,29.91285816,42.2534408,379.0205871
January,143,28587.29,2621.274167,7,17,12,1496.38,32.11737767,185.9603642,366.1670525
February,143,28587.29,2621.274167,7,17,9,1496.38,27.75209038,129.737134,422.3902827
March,143,28587.29,2621.274167,7,17,10,1496.38,30.01478966,135.7092806,416.4181361
April,143,28587.29,2621.274167,7,20,12,1496.38,34.26125934,88.74306479,463.3843519
May,143,28587.29,2621.274167,7,13,9,1496.38,36.65870652,210.6243801,321.5030366
June,143,28587.29,2621.274167,7,13,11,1496.38,28.71481315,84.66215367,447.465263
January,144,16578.115,1426.509583,15,11,9,1054.86,34.12223746,25.85641455,345.3685717
February,144,16578.115,1426.509583,15,13,0,1054.86,35.67735785,58.17679932,353.0481869
March,144,16578.115,1426.509583,15,12,9,1054.86,35.73134519,28.29133226,342.933654
April,144,16578.115,1426.509583,15,13,9,1054.86,38.49923983,54.14674132,327.0782449
May,144,16578.115,1426.509583,15,13,9,1054.86,23.6956535,120.4907632,290.734223
June,144,16578.115,1426.509583,15,13,10,1054.86,29.04880468,53.91212946,347.3128568
January,145,74647.4,6327.616667,20,28,20,4167.43,26.0383526,142.361499,420.8247656
February,145,74647.4,6327.616667,20,28,20,4167.43,32.84289151,59.45679,503.7294746
March,145,74647.4,6327.616667,20,28,20,4167.43,31.65975843,161.5712331,401.6150314
April,145,74647.4,6327.616667,20,28,21,4167.43,35.71557292,141.2712372,441.9150274
May,145,74647.4,6327.616667,20,28,20,4167.43,31.68085601,553.8526995,49.33356508
June,145,74647.4,6327.616667,20,23,18,4167.43,38.34225381,158.3173101,404.8689545
January,146,34766.06,3133.171667,11,28,19,1374.23,32.0262087,339.1781648,186.0458952
February,146,34766.06,3133.171667,11,31,20,1374.23,28.66007022,10000,376.2366464
March,146,34766.06,3133.171667,11,23,9,1374.23,35.56142106,182.6155519,342.608508
April,146,34766.06,3133.171667,11,25,10,1374.23,33.29576662,139.5136038,355.7104561
May,146,34766.06,3133.171667,11,25,11,1374.23,26.77336524,59.75858627,425.4654737
June,146,34766.06,3133.171667,11,25,0,1374.23,32.74411423,72.89949541,422.3245645
January,147,16852.635,1691.38625,9,21,14,775.22,34.05590813,136.2137084,302.9249166
February,147,16852.635,1691.38625,9,23,11,775.22,39.50487104,69.04340589,380.0952191
March,147,16852.635,1691.38625,9,25,11,775.22,32.78745821,114.6230507,344.5155743
April,147,16852.635,1691.38625,9,27,8,775.22,28.01965469,26.8701924,382.2684326
May,147,16852.635,1691.38625,9,19,3,775.22,26.53290254,39.60976624,369.5288588
June,147,16852.635,1691.38625,9,19,0,775.22,27.96080591,61.1265106,398.0121144
January,148,33502.1,2890.841667,27,19,3,2362.68,33.84241128,186.6985264,233.7777131
February,148,33502.1,2890.841667,27,24,3,2362.68,32.80233908,191.2771121,229.1991274
March,148,33502.1,2890.841667,27,22,3,2362.68,33.19100843,335.337723,85.13851653
April,148,33502.1,2890.841667,27,19,0,2362.68,32.98116761,72.56920724,307.9070323
May,148,33502.1,2890.841667,27,16,0,2362.68,24.18776124,123.5680549,296.9081846
June,148,33502.1,2890.841667,27,19,3,2362.68,32.82688726,45.48514242,334.9910971
January,149,91690.53,7795.8775,2,10,5,1295.18,27.35397853,254.8699601,643.8669321
February,149,91690.53,7795.8775,2,9,6,1295.18,38.01529334,156.0510657,732.6858265
March,149,91690.53,7795.8775,2,9,8,1295.18,35.36268416,217.3947251,711.3421671
April,149,91690.53,7795.8775,2,13,3,1295.18,26.19820232,545.4780277,383.2588646
May,149,91690.53,7795.8775,2,9,6,1295.18,38.66431766,371.4258097,557.3110826
June,149,91690.53,7795.8775,2,9,6,1295.18,37.6942541,289.4477866,609.2891056
January,150,30502.54,2595.878333,24,9,6,1672.68,37.25100052,43.83991212,301.3545629
February,150,30502.54,2595.878333,24,9,6,1672.68,34.87312303,168.0204875,207.1739875
March,150,30502.54,2595.878333,24,7,3,1672.68,27.97107605,216.1796301,179.014845
April,150,30502.54,2595.878333,24,7,0,1672.68,32.0878068,0,161.9335635
May,150,30502.54,2595.878333,24,7,0,1672.68,37.50922877,106.5824454,248.6120297
June,150,30502.54,2595.878333,24,12,0,1672.68,34.62966312,20.99723703,324.197238
January,151,30272.61,2258.7175,15,7,0,180.94,35.62726893,128.3534494,369.5424496
February,151,30272.61,2258.7175,15,2,0,180.94,36.36723057,156.7351886,311.1607104
March,151,30272.61,2258.7175,15,9,0,180.94,24.92422156,145.7232424,332.1726566
April,151,30272.61,2258.7175,15,7,0,180.94,38.13742934,128.6410776,349.2548214
