Month,ID,Delay-from-due-date,Num-of-Delayed-Payment,Outstanding-Debt,Credit-Utilization-Ratio,Annual-Income,Debt-to-Income Ratio,Amount-invested-monthly,Monthly-Balance,Default
March,58,13,8,3042.36,35.60710564,69977.6,4%,177.9055932,822.1939947,1
April,58,13,4,3042.36,23.84176883,69977.6,4%,250.7661703,880.4274417,0
May,58,13,3,3042.36,26.20467951,69977.6,4%,122.7310698,705.6144782,0
June,58,13,6,3042.36,28.13069484,69977.6,4%,332.2100424,558.8839898,1
January,59,10,3,1746.9,34.70500518,78988.48,2%,88.07126674,853.5473978,0
February,59,13,6,1746.9,35.1549357,78988.48,2%,419.575712,277.2301534,1
March,59,18,6,1746.9,28.38967163,78988.48,2%,295.6050491,785.5315567,1
April,59,16,8,1746.9,39.64707758,78988.48,2%,178.1531521,799.4379832,1
May,59,12,7,1746.9,37.47919344,78988.48,2%,,795.5546638,1
June,59,12,0,1746.9,32.4955483,78988.48,2%,399.2485836,886.9776436,0
January,60,12,7,1936.79,37.70526076,41746.76,5%,425.1038222,840.0253761,1
February,60,12,7,1936.79,30.0899524,41746.76,5%,31.56000966,684.8855634,1
March,60,14,0,1936.79,24.03858303,41746.76,5%,150.747271,887.7276174,0
April,60,12,7,1936.79,37.58178658,41746.76,5%,134.42247,523.1224763,1
May,60,12,4,1936.79,30.25268542,41746.76,5%,42.79187097,273.6508993,0
June,60,12,7,1936.79,32.15961047,41746.76,5%,199.1276057,879.7520668,1
January,61,30,20,4834.59,38.16554553,19981.6,24%,69.78240333,63.24697621,1
February,61,30,18,4834.59,29.04463822,19981.6,24%,35.92166782,257.5049943,1
March,61,30,19,4834.59,26.7842801,19981.6,24%,,250.0402152,1
April,61,30,18,4834.59,35.05013881,19981.6,24%,69.46880384,209.8231548,1
May,61,27,18,4834.59,34.31347599,19981.6,24%,10000,199.9999147,1
June,61,31,21,4834.59,38.9777452,19981.6,24%,42.4353362,255.146352,1
January,62,30,15,1219.39,34.50073214,73737.36,2%,77.2660256,219.7424048,1
February,62,30,19,1219.39,35.72613069,73737.36,2%,113.162405,156.3169634,1
March,62,59,0,1219.39,37.97265478,73737.36,2%,321.1426678,246.3243569,1
April,62,55,24,1219.39,34.81301084,73737.36,2%,153.8744615,252.016603,1
May,62,56,24,1219.39,33.0159281,73737.36,2%,424.0584112,212.8183044,1
June,62,59,24,1219.39,26.38962385,73737.36,2%,188.5743324,241.2002605,1
January,63,59,24,325.93,26.64350552,88362.46,0%,185.3272952,221.1183879,1
February,63,55,24,325.93,36.5905132,88362.46,0%,472.7754275,283.0152596,1
March,63,59,24,325.93,26.86579943,88362.46,0%,187.5698797,281.2486957,1
April,63,61,26,325.93,31.5286769,88362.46,0%,283.3812328,202.9925648,1
May,63,2,0,325.93,30.30042098,88362.46,0%,,333.2919819,0
June,63,6,6,325.93,38.41963348,88362.46,0%,214.6101098,760.3649552,1
January,64,3,0,191.09,29.14953015,118248.6,0%,227.6187415,776.3343613,0
February,64,2,0,191.09,34.34487102,118248.6,0%,338.7642171,653.1086427,0
March,64,2,5,191.09,32.68206167,118248.6,0%,545.8997341,117.9409555,0
April,64,6,4,191.09,44.24642053,118248.6,0%,10000,694.2209474,0
May,64,2,5,191.09,29.32435284,118248.6,0%,670.5779061,698.204431,0
June,64,2,8,191.09,43.96183939,118248.6,0%,324.6255705,573.1125062,1
January,65,20,19,1037.45,36.35924552,60162.1,2%,80.01264638,194.364478,1
February,65,20,16,1037.45,33.18394227,60162.1,2%,153.4475402,204.2194359,1
March,65,20,19,1037.45,30.91438852,60162.1,2%,184.5531485,174.4800873,1
April,65,20,16,1037.45,27.6412103,60162.1,2%,356.3858247,34.04007764,1
May,65,20,17,1037.45,32.16686073,60162.1,2%,96.8446731,0,1
June,65,20,19,1037.45,28.73291735,60162.1,2%,450.5601781,181.8797463,1
January,66,20,19,2497.34,33.59482507,75273.24,3%,124.6322882,185.0505808,1
February,66,20,16,2497.34,24.82967191,75273.24,3%,482.0882842,267.5723901,1
March,66,18,10,2497.34,39.15098231,75273.24,3%,162.1888645,884.9056903,1
April,66,23,10,2497.34,38.05213442,75273.24,3%,170.3151592,717.1043479,1
May,66,23,10,2497.34,35.27464015,75273.24,3%,141.1879102,635.0574631,1
June,66,28,0,2497.34,37.90870332,75273.24,3%,76.68731089,389.0071493,0
January,67,22,13,4795.13,35.80248914,54820.89,9%,479.5857747,474.6136991,1
February,67,23,0,4795.13,32.59131378,54820.89,9%,229.8721223,251.3703422,0
March,67,23,10,4795.13,25.92375905,54820.89,9%,92.22239678,234.8137985,1
April,67,23,0,4795.13,34.79256617,54820.89,9%,87.26667315,450.3051884,0
May,67,27,11,4795.13,28.62435875,54820.89,9%,359.5541628,426.256443,1
June,67,27,11,4795.13,35.95384759,54820.89,9%,,390.9027071,1
January,68,27,11,2425.38,37.340892,58674.66,4%,121.3798305,422.9099783,1
February,68,27,11,2425.38,25.16742497,58674.66,4%,262.7332958,160.019922,1
March,68,27,11,2425.38,36.49072833,58674.66,4%,182.5464906,350.267667,1
April,68,27,14,2425.38,24.82077382,58674.66,4%,69.22823275,436.3089192,1
May,68,27,10,2425.38,34.14221724,58674.66,4%,113.3959015,443.6930222,1
June,68,27,11,2425.38,34.99081327,58674.66,4%,628.7091521,386.8271444,1
January,69,57,21,580.31,26.97596095,30390.44,2%,10000,270.025904,1
February,69,59,3104,580.31,33.55567404,30390.44,2%,149.6134397,295.7519293,1
March,69,57,19,580.31,35.832413,30390.44,2%,10000,159.5302809,1
April,69,52,0,580.31,34.53357345,30390.44,2%,60.91459665,176.9314779,1
May,69,54,19,580.31,38.00156519,30390.44,2%,169.8763743,342.927173,1
June,69,57,18,580.31,31.07504071,30390.44,2%,225.9197881,315.0627851,1
January,70,57,19,2497.48,26.63171974,45207.54,6%,39.83022939,337.3548473,1
February,70,57,22,2497.48,33.88856426,45207.54,6%,375.7330662,303.0821062,1
March,70,62,17,2497.48,24.30177052,45207.54,6%,10000,185.0894247,1
April,70,62,18,2497.48,29.57534481,45207.54,6%,131.096168,268.2488022,1
May,70,65,0,2497.48,28.94303915,45207.54,6%,119.0870984,197.1738952,1
June,70,62,21,2497.48,22.50520105,45207.54,6%,55.56367935,244.8559965,1
January,71,62,21,1045.11,40.84068721,144546.72,1%,573.4115905,179.1095355,1
February,71,62,18,1045.11,36.33873578,144546.72,1%,,252.2245616,1
March,71,64,0,1045.11,43.6110939,144546.72,1%,103.9012093,204.2323772,1
April,71,62,18,1045.11,31.33767968,144546.72,1%,205.4748681,236.1591157,1
May,71,15,8,1045.11,39.20382495,19257912,0%,10000,940.3944828,1
June,71,15,8,1045.11,37.16404251,144546.72,1%,415.1834125,1157.857522,1
January,72,15,8,523.56,28.21235656,30346.35,2%,145.1083749,446.8881082,1
February,72,15,8,523.56,30.28018466,30346.35,2%,332.4861616,789.4419359,1
March,72,15,0,523.56,38.94962888,30346.35,2%,106.2992268,1162.421394,0
April,72,15,8,523.56,30.50811574,30346.35,2%,98.62135851,1184.899694,1
May,72,18,8,523.56,32.90975438,30346.35,2%,106.448575,1120.751173,1
June,72,15,8,523.56,28.78678915,30346.35,2%,151.6096001,731.7747268,1
January,73,8,13,327.88,27.53134292,18681.465,2%,52.09642061,273.3735401,1
February,73,8,15,327.88,38.90124971,18681.465,2%,140.6547558,321.5116608,1
March,73,5,12,327.88,27.37775919,18681.465,2%,55.33162201,245.6664338,1
April,73,10,15,327.88,24.18879867,18681.465,2%,90.57533568,228.8076747,1
May,73,8,15,327.88,31.86689252,18681.465,2%,77.79346468,296.199819,1
June,73,5,15,327.88,30.12793418,18681.465,2%,131.1074314,334.0336517,1
January,74,8,15,4984.82,27.3346898,9841.34,51%,,304.8261299,1
February,74,3,15,4984.82,33.4598029,9841.34,51%,55.92433094,324.6377301,1
March,74,14,19,4984.82,35.2517545,9841.34,51%,,386.0433278,1
April,74,14,19,4984.82,38.7684909,9841.34,51%,22.70173912,227.6608993,1
May,74,14,17,4984.82,28.49691824,9841.34,51%,37.94400952,354.5076041,1
June,74,14,19,4984.82,34.05642405,9841.34,51%,74.724782,383.5191644,1
January,75,14,19,596.78,31.87384175,72330.98,1%,390.5462005,352.9692673,1
February,75,16,18,596.78,32.36779297,72330.98,1%,171.7435332,429.3376491,1
March,75,14,20,596.78,27.24102191,72330.98,1%,110.0671087,425.9218905,1
April,75,15,19,596.78,30.15846394,72330.98,1%,701.6599477,245.4682923,1
May,75,25,19,596.78,39.60218493,72330.98,1%,339.2289211,829.6035975,1
June,75,28,19,596.78,33.41197558,72330.98,1%,48.32875329,874.4794398,1
January,76,25,16,2174.16,39.78232874,43241.49,5%,410.1902491,407.5699589,1
February,76,20,21,2174.16,32.62468106,43241.49,5%,72.47252535,803.4807269,1
March,76,25,19,2174.16,37.35140673,22335783,0%,230.3893891,625.2923728,1
April,76,25,0,2174.16,24.40758995,43241.49,5%,179.3559234,708.5727909,0
May,76,25,19,2174.16,31.24773473,43241.49,5%,63.59658329,799.4042336,1
June,76,25,19,2174.16,32.18200633,43241.49,5%,134.1245993,808.782961,1
January,77,49,18,996.54,31.06392082,34106.78,3%,115.1517373,0,1
February,77,49,18,996.54,38.62751709,34106.78,3%,24.07190317,0,1
March,77,49,18,996.54,23.33248162,34106.78,3%,135.8018888,214.1906424,1
April,77,49,18,996.54,40.79135176,34106.78,3%,216.3654359,141.3300654,1
May,77,49,18,996.54,25.34390218,34106.78,3%,338.0036515,229.3651659,1
June,77,54,20,996.54,39.49437697,34106.78,3%,118.6743753,59.88619327,1
January,78,49,19,137.15,24.49869173,129067.59,0%,215.2174879,0,1
February,78,49,18,137.15,30.7290606,16367214,0%,511.2114299,0,1
March,78,27,17,137.15,33.01978996,129067.59,0%,126.2690074,515.0833063,1
April,78,27,17,137.15,33.1858694,129067.59,0%,10000,193.578861,1
May,78,27,17,137.15,32.67772557,129067.59,0%,112.014526,327.5495239,1
June,78,27,17,137.15,28.43760665,129067.59,0%,264.7400106,455.0014209,1
January,79,27,17,1093.87,31.55554039,17001.34,6%,97.55551351,75.19634822,1
February,79,27,15,1093.87,23.06986827,17001.34,6%,10000,233.9059894,1
March,79,22,17,1093.87,25.89483416,17001.34,6%,120.9712196,176.7851085,1
April,79,27,17,1093.87,28.63344077,17001.34,6%,51.9051847,431.0729716,1
May,79,62,21,1093.87,25.68102673,17001.34,6%,,127.8024469,1
June,79,62,22,1093.87,36.06466979,17001.34,6%,51.24574815,471.3462595,1
January,80,62,20,3818.57,30.98237348,44719.17,9%,130.2512251,362.1589981,1
February,80,62,21,3818.57,30.86937294,44719.17,9%,167.656053,398.4837991,1
March,80,62,18,3818.57,27.97975079,44719.17,9%,,460.1143982,1
April,80,67,21,3818.57,30.73768432,44719.17,9%,316.1728449,323.7786634,1
May,80,59,23,3818.57,27.73718317,44719.17,9%,312.0946329,409.3000689,1
June,80,62,21,3818.57,35.53327204,44719.17,9%,116.463927,416.9094002,1
January,81,54,0,730.9,26.99358623,17787.34,4%,42.29858803,287.7126585,1
February,81,54,21,730.9,36.33219149,17787.34,4%,54.89407316,291.573394,1
March,81,54,21,730.9,26.31431009,17787.34,4%,98.42059162,236.9991171,1
April,81,54,21,730.9,34.9030915,17787.34,4%,28.51604362,278.0262579,1
May,81,54,21,730.9,32.53512768,17787.34,4%,157.5524722,239.4320793,1
June,81,54,19,730.9,33.68265491,17787.34,4%,119.1483872,285.0597256,1
January,82,54,23,1374.56,32.6855216,103353.06,1%,,206.6598648,1
February,82,54,21,1374.56,40.54255171,103353.06,1%,326.4827489,185.8552345,1
March,82,20,0,1374.56,33.9918544,103353.06,1%,173.1808384,541.5985112,0
April,82,20,20,1374.56,23.17084458,103353.06,1%,1043.873612,515.7021318,1
May,82,20,17,1374.56,38.76615976,103353.06,1%,165.4483707,337.721869,1
June,82,20,17,1374.56,28.65012699,103353.06,1%,124.2894824,474.9900753,1
January,83,15,20,852.81,31.19439865,31021.24,3%,68.51358027,244.8061256,1
February,83,20,20,852.81,33.89457499,31021.24,3%,58.53848336,440.2902044,1
March,83,20,20,852.81,32.86658163,31021.24,3%,136.9906689,413.7965621,1
April,83,20,17,852.81,29.50861953,31021.24,3%,10000,220.4085375,1
May,83,17,5,852.81,34.13944939,31021.24,3%,153.4035982,569.0421478,0
June,83,15,10,852.81,37.17152644,31021.24,3%,56.97757259,321.5940155,1
January,84,17,8,668.14,36.59328467,134978.24,0%,834.1444379,586.7995633,1
February,84,15,8,668.14,46.19423785,134978.24,0%,129.5214491,480.9882102,1
March,84,15,8,668.14,24.85673514,134978.24,0%,,40.66430409,1
April,84,15,6,668.14,31.93375623,134978.24,0%,,579.7593332,1
May,84,15,0,668.14,41.61797405,134978.24,0%,148.8875069,419.9102852,0
June,84,15,7,668.14,36.16238357,134978.24,0%,663.6269365,674.2980966,1
January,85,13,10,660.69,24.79435667,39800.12,2%,404.2182245,1023.886258,1
February,85,13,10,660.69,26.01921032,39800.12,2%,169.8630826,942.7407829,1
March,85,13,7,660.69,29.72470803,39800.12,2%,410.2436031,755.6052659,1
April,85,13,7,660.69,41.20335336,39800.12,2%,33.79278212,1142.147936,1
May,85,13,10,660.69,32.66871615,39800.12,2%,42.10063083,600.9270939,1
June,85,13,10,660.69,26.02052332,39800.12,2%,121.0441224,936.8794295,1
January,86,13,0,3865.15,39.02987341,14841.35,26%,110.7777796,782.0757976,0
February,86,18,13,3865.15,30.47438664,14841.35,26%,82.88833259,687.0398865,1
March,86,18,10,3865.15,23.94861058,14841.35,26%,171.0862578,469.5244602,1
April,86,18,10,3865.15,32.05285841,14841.35,26%,91.84978305,396.0895664,1
May,86,18,10,3865.15,22.86545917,14841.35,26%,60.9873781,364.9839581,1
June,86,18,12,3865.15,22.81838316,14841.35,26%,112.7638199,213.1512819,1
January,87,17,10,1549.56,30.11104031,66105.4,2%,180.1468487,452.6924335,1
February,87,18,11,1549.56,29.32779915,66105.4,2%,449.1873822,118.9769286,1
March,87,18,13,1549.56,33.89863232,66105.4,2%,291.4013793,451.8138963,1
April,87,18,10,1549.56,28.07920302,66105.4,2%,169.8398152,347.7706392,1
May,87,50,9,1549.56,31.75671187,66105.4,2%,732.6818427,548.0256556,1
June,87,48,9,1549.56,37.13217623,66105.4,2%,116.0659862,220.5696597,1
January,88,50,10,343.84,36.74315458,15398.95,2%,81.67810682,510.4690793,1
February,88,50,10,343.84,39.06640765,15398.95,2%,74.65272755,512.3427847,1
March,88,50,9,343.84,33.49444239,15398.95,2%,47.60747045,541.4700337,1
April,88,50,9,343.84,37.71613993,15398.95,2%,10000,595.970633,1
May,88,50,10,343.84,30.97302503,15398.95,2%,123.4168433,609.4784012,1
June,88,50,11,343.84,41.23900243,15398.95,2%,107.9849309,343.1662236,1
January,89,36,20,919.76,28.55585041,27070.07,3%,76.31458795,70.47299093,1
February,89,41,15,919.76,34.06157477,27070.07,3%,314.0875747,320.1866434,1
March,89,41,17,919.76,29.8306522,27070.07,3%,104.1811039,417.8363689,1
April,89,41,15,919.76,40.44063791,27070.07,3%,231.0897388,412.7920925,1
May,89,43,17,919.76,24.73337424,27070.07,3%,58.00991024,190.5046029,1
June,89,41,17,919.76,36.39840658,27070.07,3%,17.68883577,260.3700816,1
January,90,41,17,565.22,22.38039887,17992.775,3%,88.44275347,332.9270967,1
February,90,41,17,565.22,37.2194631,17992.775,3%,137.398429,391.1806898,1
March,90,57,23,565.22,23.13682419,17992.775,3%,95.65646111,484.9722526,1
April,90,57,23,565.22,25.15210984,17992.775,3%,162.6432543,393.6187872,1
May,90,59,23,565.22,34.18203111,17992.775,3%,10000,463.8055925,1
June,90,57,0,565.22,31.05399429,17992.775,3%,23.00301884,537.1238503,1
January,91,57,23,519.3,32.7110284,139354.48,0%,382.2110719,492.9561816,1
February,91,57,25,519.3,35.04958451,139354.48,0%,568.2347294,27.64293096,1
March,91,62,0,519.3,33.5673417,139354.48,0%,277.2957148,395.8692432,1
April,91,55,23,519.3,37.06219362,139354.48,0%,899.2623909,322.0829186,1
May,91,19,20,519.3,31.74432925,139354.48,0%,607.9420858,407.2936282,1
June,91,19,23,519.3,40.87876031,139354.48,0%,737.8098216,327.6921888,1
January,92,19,18,363.51,34.8352811,18305.25,2%,73.87955399,327.4436392,1
February,92,19,17,363.51,35.61828916,18305.25,2%,137.9464988,396.3910318,1
March,92,15,18,363.51,25.8539005,18305.25,2%,112.2594331,307.4292542,1
April,92,16,20,363.51,38.52380158,18305.25,2%,201.3192804,271.3858404,1
May,92,19,21,363.51,39.85047617,18305.25,2%,49.56528039,378.5195195,1
June,92,19,20,363.51,30.19674704,18305.25,2%,179.3112311,369.3704505,1
January,93,21,20,635.59,27.14233426,27865.26,2%,213.439601,401.9859972,1
February,93,24,22,635.59,22.01381947,27865.26,2%,339.1487277,116.0831604,1
March,93,26,21,635.59,23.95474522,27865.26,2%,10000,407.1341931,1
April,93,21,20,635.59,30.82107192,27865.26,2%,73.26685798,320.7200586,1
May,93,25,20,635.59,24.0051777,27865.26,2%,156.3272161,362.7291282,1
June,93,24,23,635.59,26.89524308,27865.26,2%,46.78581394,396.2525472,1
January,94,22,20,35.54,34.05823767,23404.86,0%,84.46263179,306.953468,1
February,94,24,20,35.54,38.23037044,23404.86,0%,55.56396607,159.8904974,1
March,94,15,7,35.54,27.58078996,23404.86,0%,80.32476098,730.5558529,1
April,94,15,0,35.54,31.97512201,23404.86,0%,91.24510932,1026.919211,0
May,94,15,8,35.54,35.12706006,23404.86,0%,137.274521,1180.066234,1
June,94,15,0,35.54,27.52690307,23404.86,0%,34.38842729,1078.492575,0
January,95,14,7,4845.24,32.31373815,14205.09,34%,47.62770058,14.11872663,1
February,95,15,7,4845.24,25.86541896,14205.09,34%,86.99729209,878.7840309,1
March,95,14,5,4845.24,30.56412447,14205.09,34%,129.6093474,430.6042859,0
April,95,13,7,4845.24,34.8974674,14205.09,34%,72.76043069,1057.458508,1
May,95,27,9,4845.24,30.9895037,14205.09,34%,64.58804985,313.3565949,1
June,95,29,9,4845.24,35.13626855,14205.09,34%,15.3362246,125.9788082,1
January,96,29,9,3589.56,32.0205367,62320.56,6%,179.6503063,342.165743,1
February,96,24,9,3589.56,39.00855552,62320.56,6%,102.4200486,319.8436113,1
March,96,29,9,3589.56,34.20428782,62320.56,6%,162.8413655,322.0163948,1
April,96,27,6,3589.56,34.73441662,62320.56,6%,672.9965674,306.8553697,1
May,96,26,9,3589.56,37.05281717,62320.56,6%,327.6725748,348.836496,1
June,96,29,6,3589.56,34.75027783,62320.56,6%,,389.4197766,1
January,97,6,8,1194.28,29.31789666,43758.34,3%,229.2590696,351.5610294,1
February,97,6,5,1194.28,27.69852435,43758.34,3%,417.5305244,283.0026942,0
March,97,6,8,1194.28,26.01121877,43758.34,3%,,338.325828,1
April,97,6,0,1194.28,32.4590762,43758.34,3%,10000,333.0821143,0
May,97,6,0,1194.28,30.68567908,43758.34,3%,389.0516109,345.8639853,0
June,97,6,8,1194.28,27.26513495,43758.34,3%,147.5732176,272.5500187,1
January,98,6,8,404.51,33.90967515,144881.68,0%,10000,360.7075734,1
February,98,6,6,404.51,30.92453971,144881.68,0%,237.605283,209.5576971,1
March,98,61,16,404.51,36.28893236,144881.68,0%,1270.327961,263.003361,1
April,98,65,15,404.51,39.2763797,144881.68,0%,990.2115188,256.4117078,1
May,98,61,15,404.51,35.32552064,144881.68,0%,443.9157278,259.4705364,1
June,98,61,15,404.51,28.15605347,144881.68,0%,757.8121973,279.6342996,1
January,99,61,13,1113.06,36.42376664,108147.3,1%,328.4800428,254.3920292,1
February,99,61,15,1113.06,39.57269231,108147.3,1%,799.3782051,247.6112567,1
March,99,61,15,1113.06,27.29590216,108147.3,1%,116.5331164,254.8495577,1
April,99,61,15,1113.06,30.40254793,108147.3,1%,10000,271.9295865,1
May,99,1,7,1113.06,29.97751441,108147.3,1%,184.5925317,488.132172,1
June,99,2,6,1113.06,38.51521527,108147.3,1%,122.7035818,676.9348393,1
January,100,1,6,3598.39,27.22856802,17759.1,20%,190.0547612,728.6112638,1
February,100,2,6,3598.39,38.05162518,17759.1,20%,114.1743166,187.0184248,1
March,100,1,6,3598.39,39.37829033,17759.1,20%,130.3179505,519.4494514,1
April,100,5,0,3598.39,29.44796845,17759.1,20%,195.1092462,790.3496192,0
May,100,1,6,3598.39,30.14370368,17759.1,20%,206.4503839,691.6532548,1
June,100,1,6,3598.39,35.28592081,17759.1,20%,157.3673523,567.4558542,1
January,101,36,17,585.05,28.02456085,85328.73,1%,145.0907844,75.61653778,1
February,101,36,19,585.05,28.27046488,85328.73,1%,106.5877387,383.3342616,1
March,101,36,17,585.05,29.33563866,85328.73,1%,318.3073417,255.4173978,1
April,101,33,17,585.05,30.07533269,85328.73,1%,203.0705331,286.4508636,1
May,101,32,17,585.05,38.05151985,85328.73,1%,95.81963874,372.2102036,1
June,101,32,17,585.05,37.64923016,85328.73,1%,137.1702844,351.6821877,1
January,102,36,14,1428.68,26.75528646,134321.44,1%,715.7040605,394.9751617,1
February,102,36,17,1428.68,39.90369227,134321.44,1%,10000,351.2063921,1
March,102,8,0,1428.68,34.22349216,134321.44,1%,,451.5714293,0
April,102,8,10,1428.68,37.94748333,134321.44,1%,461.5302283,492.6512635,1
May,102,8,10,1428.68,31.98128604,134321.44,1%,259.4569536,410.9212778,1
June,102,8,10,1428.68,40.96972833,134321.44,1%,598.8624397,330.3577308,1
January,103,8,10,1755.81,27.37324216,61008,3%,218.2076697,228.7195152,1
February,103,8,10,1755.81,32.45474799,61008,3%,677.4251029,448.0487914,1
March,103,11,10,1755.81,32.98956713,61008,3%,165.2171154,407.3763374,1
April,103,8,10,1755.81,32.85587002,61008,3%,73.60092894,448.8478223,1
May,103,9,5,1755.81,29.51708332,61008,3%,255.8771888,715.0400896,0
June,103,9,7,1755.81,29.07238717,61008,3%,201.6860912,459.0461476,1
January,104,9,5,1237.46,36.6396993,28665.76,4%,340.9908376,803.9885701,0
February,104,9,5,1237.46,34.10061402,28665.76,4%,182.0336712,404.8901992,0
March,104,9,6,1237.46,31.42349681,28665.76,4%,117.0473528,818.2430515,1
April,104,9,5,1237.46,33.37386506,28665.76,4%,80.25709666,665.517567,0
May,104,9,5,1237.46,36.48458788,28665.76,4%,236.8815961,232.3600477,0
June,104,7,5,1237.46,33.84501778,28665.76,4%,138.3066033,680.8960947,0
January,105,11,20,2593.44,29.75653236,56803.71,5%,10000,293.3867642,1
February,105,10,0,2593.44,36.3448053,56803.71,5%,272.4220305,333.598142,0
March,105,11,20,2593.44,27.19245683,56803.71,5%,154.3728581,269.9710581,1
April,105,10,18,2593.44,32.07852764,56803.71,5%,186.0685566,349.037093,1
May,105,10,20,2593.44,25.31414163,56803.71,5%,160.9121209,243.5030775,1
June,105,7,20,2593.44,38.78579181,56803.71,5%,94.38794945,349.6965296,1
January,106,10,21,1973.63,37.66455307,38364.82,5%,74.79251895,310.3498647,1
February,106,5,20,1973.63,25.56656333,38364.82,5%,280.3850232,301.6478199,1
March,106,41,19,1973.63,26.07823491,38364.82,5%,123.9038606,268.1086391,1
April,106,39,20,1973.63,26.267351,38364.82,5%,111.0394321,240.7038111,1
May,106,47,21,1973.63,32.1711038,38364.82,5%,42.18845308,289.8878581,1
June,106,47,20,1973.63,23.79219323,38364.82,5%,10000,102.1870192,1
January,107,44,19,1460.8,26.42518128,66528.24,2%,139.5745607,106.2652312,1
February,107,46,20,1460.8,38.25186383,66528.24,2%,38.94642667,281.8959372,1
March,107,42,19,1460.8,32.53387309,66528.24,2%,98.82755375,0,1
April,107,46,19,1460.8,36.63336352,66528.24,2%,215.6186379,282.5953721,1
May,107,0,15,1460.8,34.37396536,66528.24,2%,247.4272856,321.8656114,1
June,107,5,15,1460.8,27.50257202,66528.24,2%,97.04179086,329.2701263,1
January,108,2,15,339.11,31.22930685,19403.405,2%,52.12810762,295.7436078,1
February,108,6,183,339.11,36.5078306,19403.405,2%,125.9483687,325.6481558,1
March,108,5,16,339.11,33.68727673,19403.405,2%,192.718754,236.6117273,1
April,108,7,16,339.11,38.25840231,19403.405,2%,186.9890358,265.0158122,1
May,108,5,17,339.11,36.82660981,19403.405,2%,169.8581974,294.1778521,1
June,108,5,15,339.11,25.84913168,19403.405,2%,71.55927579,342.4503832,1
January,109,4,9,358.6,30.79484745,31122.79,1%,220.5130602,857.8262026,1
February,109,4,9,358.6,31.60070425,31122.79,1%,249.6968801,742.2910654,1
March,109,4,7,358.6,32.51956159,31122.79,1%,57.2407224,855.592976,1
April,109,4,9,358.6,26.85277506,31122.79,1%,158.2697734,34.90020276,1
May,109,4,9,358.6,27.1376456,31122.79,1%,230.722102,863.3254437,1
June,109,4,6,358.6,34.55576314,31122.79,1%,200.0838001,904.4843319,1
January,110,2,9,330.17,33.27002451,15015.4,2%,92.11412378,40.07287397,1
February,110,4,12,330.17,29.99075632,15015.4,2%,75.14400572,961.6680465,1
March,110,16,21,330.17,24.24900974,15015.4,2%,48.25865276,366.3375746,1
April,110,13,17,330.17,37.84241153,15015.4,2%,69.60003309,376.3126715,1
May,110,21,20,330.17,30.23488554,15015.4,2%,136.4954553,317.860486,1
June,110,17,0,330.17,29.92099563,15015.4,2%,50.73793309,364.7327151,0
January,111,16,20,186.16,38.41845963,19777.05,1%,10000,291.4475567,1
February,111,20,20,186.16,26.60266394,19777.05,1%,39.27209392,367.8735823,1
March,111,16,20,186.16,26.27606328,19777.05,1%,25.1512005,373.7630937,1
April,111,16,21,186.16,30.27714749,19777.05,1%,193.1579358,131.0046483,1
May,111,9,16,186.16,28.98331009,19777.05,1%,,406.6624054,1
June,111,12,16,186.16,39.95698734,19777.05,1%,10000,1081.285394,1
January,112,9,14,399.92,28.54258478,20188.02,2%,147.6362135,550.8319048,1
February,112,9,17,399.92,31.3632289,20188.02,2%,35.50111934,1103.544143,1
March,112,9,16,399.92,39.07337919,20188.02,2%,79.8774261,1061.919336,1
April,112,9,16,399.92,26.40738386,20188.02,2%,98.28930196,577.1799068,1
May,112,9,16,399.92,33.00461132,20188.02,2%,148.2581692,470.3888491,1
June,112,9,15,399.92,37.28999202,20188.02,2%,22.78993516,667.8676,1
January,113,17,18,646.47,23.04195122,41345.58,2%,,132.0617849,1
February,113,17,0,646.47,34.16352449,41345.58,2%,110.074478,356.4169267,0
March,113,17,18,646.47,27.7470489,41345.58,2%,69.28882473,126.0364062,1
April,113,17,18,646.47,30.25251837,41345.58,2%,10000,462.4872272,1
May,113,17,20,646.47,32.69081341,41345.58,2%,36.94720504,444.1793785,1
June,113,17,18,646.47,32.62574506,41345.58,2%,115.5128542,375.2358869,1
January,114,17,18,1743.83,30.30098553,55151.04,3%,262.8372921,453.9857715,1
February,114,17,20,1743.83,27.25049996,55151.04,3%,139.0744818,251.8237606,1
March,114,60,16,1743.83,40.66800182,55151.04,3%,467.7339131,251.455394,1
April,114,60,16,1743.83,32.49312412,55151.04,3%,287.5477079,279.344841,1
May,114,64,14,1743.83,26.56636948,55151.04,3%,174.9210371,191.1469158,1
June,114,60,0,1743.83,39.26946645,55151.04,3%,104.8775327,270.3833905,1
January,115,60,16,687.87,31.02265867,30536.62,2%,96.7289942,291.2457955,1
February,115,60,16,687.87,31.64432344,30536.62,2%,75.76028912,249.4693537,1
March,115,60,16,687.87,38.63550085,30536.62,2%,36.6414243,293.4108267,1
April,115,60,14,687.87,35.47567291,30536.62,2%,140.1876944,245.6427607,1
May,115,26,22,687.87,35.24894992,30536.62,2%,115.5844975,431.1593616,1
June,115,26,22,687.87,28.52498558,30536.62,2%,97.5118362,192.1188281,1
January,116,26,0,1250.67,42.25298015,147499.6,1%,10000,339.904831,0
February,116,26,23,1250.67,37.95506377,147499.6,1%,,441.4663951,1
March,116,23,22,1250.67,27.98833245,147499.6,1%,443.1864811,0,1
